dataset,backbone,variant,split,selected_depth,val_metric,test_metric,metric_name,source
roman-empire,SAGE,ENS,8,5,0.8755516409873962,0.8755735754966736,acc,results2/roman_empire/ensemble.csv
roman-empire,SAGE,ENS,9,5,0.8727272748947144,0.8667489886283875,acc,results2/roman_empire/ensemble.csv
roman-empire,GAT,ENS,0,5,0.8400706052780151,0.8333921432495117,acc,results2/roman_empire/ensemble.csv
roman-empire,GAT,ENS,1,5,0.8458958268165588,0.8415107131004333,acc,results2/roman_empire/ensemble.csv
roman-empire,GAT,ENS,2,4,0.833892285823822,0.8363925218582153,acc,results2/roman_empire/ensemble.csv
roman-empire,GAT,ENS,3,5,0.8487201929092407,0.8432756662368774,acc,results2/roman_empire/ensemble.csv
roman-empire,GAT,ENS,4,4,0.8402470946311951,0.8367455005645752,acc,results2/roman_empire/ensemble.csv
roman-empire,GAT,ENS,5,5,0.8344218730926514,0.8390398621559143,acc,results2/roman_empire/ensemble.csv
roman-empire,GAT,ENS,6,5,0.8368932008743286,0.8469820022583008,acc,results2/roman_empire/ensemble.csv
roman-empire,GAT,ENS,7,4,0.8353044986724854,0.8404517769813538,acc,results2/roman_empire/ensemble.csv
roman-empire,GAT,ENS,8,5,0.8349514603614807,0.8342745900154114,acc,results2/roman_empire/ensemble.csv
roman-empire,GAT,ENS,9,5,0.8423653841018677,0.837274968624115,acc,results2/roman_empire/ensemble.csv
roman-empire,GAT-sep,ENS,0,5,0.9016769528388977,0.8986939191818237,acc,results2/roman_empire/ensemble.csv
roman-empire,GAT-sep,ENS,1,5,0.9048543572425842,0.9032827019691467,acc,results2/roman_empire/ensemble.csv
roman-empire,GAT-sep,ENS,2,5,0.8939099311828613,0.9002823829650879,acc,results2/roman_empire/ensemble.csv
roman-empire,GAT-sep,ENS,3,5,0.9034421443939209,0.9045181274414062,acc,results2/roman_empire/ensemble.csv
roman-empire,GAT-sep,ENS,4,5,0.9018534421920776,0.9015178084373474,acc,results2/roman_empire/ensemble.csv
roman-empire,GAT-sep,ENS,5,5,0.8999117016792297,0.9105188846588135,acc,results2/roman_empire/ensemble.csv
roman-empire,GAT-sep,ENS,6,5,0.8970873355865479,0.9034591913223267,acc,results2/roman_empire/ensemble.csv
roman-empire,GAT-sep,ENS,7,5,0.8947925567626953,0.8949876427650452,acc,results2/roman_empire/ensemble.csv
roman-empire,GAT-sep,ENS,8,5,0.8974403738975525,0.8963995575904846,acc,results2/roman_empire/ensemble.csv
roman-empire,GAT-sep,ENS,9,5,0.9055604338645935,0.9004588723182678,acc,results2/roman_empire/ensemble.csv
roman-empire,GT,ENS,0,5,0.8914386630058289,0.8859865665435791,acc,results2/roman_empire/ensemble.csv
roman-empire,GT,ENS,1,5,0.8960282206535339,0.8944581747055054,acc,results2/roman_empire/ensemble.csv
roman-empire,GT,ENS,2,5,0.8879081606864929,0.8914577960968018,acc,results2/roman_empire/ensemble.csv
roman-empire,GT,ENS,3,5,0.894086480140686,0.8900458812713623,acc,results2/roman_empire/ensemble.csv
roman-empire,GT,ENS,4,5,0.8879081606864929,0.8941051363945007,acc,results2/roman_empire/ensemble.csv
roman-empire,GT,ENS,5,5,0.888614296913147,0.8956936001777649,acc,results2/roman_empire/ensemble.csv
roman-empire,GT,ENS,6,5,0.8889673352241516,0.893399178981781,acc,results2/roman_empire/ensemble.csv
roman-empire,GT,ENS,7,5,0.8812003135681152,0.8813977837562561,acc,results2/roman_empire/ensemble.csv
roman-empire,GT,ENS,8,5,0.8919681906700134,0.8877514600753784,acc,results2/roman_empire/ensemble.csv
roman-empire,GT,ENS,9,5,0.8910855650901794,0.8866925239562988,acc,results2/roman_empire/ensemble.csv
roman-empire,GT-sep,ENS,0,5,0.8781994581222534,0.8773384690284729,acc,results2/roman_empire/ensemble.csv
roman-empire,GT-sep,ENS,1,5,0.8891438245773315,0.8879279494285583,acc,results2/roman_empire/ensemble.csv
roman-empire,GT-sep,ENS,2,5,0.8836716413497925,0.8858100771903992,acc,results2/roman_empire/ensemble.csv
