policy,dataset,backbone,variant,split,selected_depth,test_metric,metric_name
per_split_validation,roman-empire,SAGE,ENS,6,5,0.87239670753479,acc
per_split_validation,roman-empire,SAGE,ENS,7,5,0.8746911287307739,acc
per_split_validation,roman-empire,SAGE,ENS,8,5,0.8755735754966736,acc
per_split_validation,roman-empire,SAGE,ENS,9,5,0.8667489886283875,acc
mean_validation,roman-empire,SAGE,ENS,0,5,0.8701023459434509,acc
mean_validation,roman-empire,SAGE,ENS,1,5,0.8780444264411926,acc
mean_validation,roman-empire,SAGE,ENS,2,5,0.8731026649475098,acc
mean_validation,roman-empire,SAGE,ENS,3,5,0.8768090009689331,acc
mean_validation,roman-empire,SAGE,ENS,4,5,0.8739851713180542,acc
mean_validation,roman-empire,SAGE,ENS,5,5,0.8851041197776794,acc
mean_validation,roman-empire,SAGE,ENS,6,5,0.87239670753479,acc
mean_validation,roman-empire,SAGE,ENS,7,5,0.8746911287307739,acc
mean_validation,roman-empire,SAGE,ENS,8,5,0.8755735754966736,acc
mean_validation,roman-empire,SAGE,ENS,9,5,0.8667489886283875,acc
split0_validation,roman-empire,SAGE,ENS,0,5,0.8701023459434509,acc
split0_validation,roman-empire,SAGE,ENS,1,5,0.8780444264411926,acc
split0_validation,roman-empire,SAGE,ENS,2,5,0.8731026649475098,acc
split0_validation,roman-empire,SAGE,ENS,3,5,0.8768090009689331,acc
split0_validation,roman-empire,SAGE,ENS,4,5,0.8739851713180542,acc
split0_validation,roman-empire,SAGE,ENS,5,5,0.8851041197776794,acc
split0_validation,roman-empire,SAGE,ENS,6,5,0.87239670753479,acc
split0_validation,roman-empire,SAGE,ENS,7,5,0.8746911287307739,acc
split0_validation,roman-empire,SAGE,ENS,8,5,0.8755735754966736,acc
split0_validation,roman-empire,SAGE,ENS,9,5,0.8667489886283875,acc
per_split_validation,roman-empire,GAT,ENS,0,5,0.8333921432495117,acc
per_split_validation,roman-empire,GAT,ENS,1,5,0.8415107131004333,acc
per_split_validation,roman-empire,GAT,ENS,2,4,0.8363925218582153,acc
per_split_validation,roman-empire,GAT,ENS,3,5,0.8432756662368774,acc
per_split_validation,roman-empire,GAT,ENS,4,4,0.8367455005645752,acc
per_split_validation,roman-empire,GAT,ENS,5,5,0.8390398621559143,acc
per_split_validation,roman-empire,GAT,ENS,6,5,0.8469820022583008,acc
per_split_validation,roman-empire,GAT,ENS,7,4,0.8404517769813538,acc
per_split_validation,roman-empire,GAT,ENS,8,5,0.8342745900154114,acc
per_split_validation,roman-empire,GAT,ENS,9,5,0.837274968624115,acc
mean_validation,roman-empire,GAT,ENS,0,5,0.8333921432495117,acc
mean_validation,roman-empire,GAT,ENS,1,5,0.8415107131004333,acc
mean_validation,roman-empire,GAT,ENS,2,5,0.8363925218582153,acc
mean_validation,roman-empire,GAT,ENS,3,5,0.8432756662368774,acc
mean_validation,roman-empire,GAT,ENS,4,5,0.8355100154876709,acc
mean_validation,roman-empire,GAT,ENS,5,5,0.8390398621559143,acc
mean_validation,roman-empire,GAT,ENS,6,5,0.8469820022583008,acc
mean_validation,roman-empire,GAT,ENS,7,5,0.8365690112113953,acc
mean_validation,roman-empire,GAT,ENS,8,5,0.8342745900154114,acc
mean_validation,roman-empire,GAT,ENS,9,5,0.837274968624115,acc
split0_validation,roman-empire,GAT,ENS,0,5,0.8333921432495117,acc
split0_validation,roman-empire,GAT,ENS,1,5,0.8415107131004333,acc
split0_validation,roman-empire,GAT,ENS,2,5,0.8363925218582153,acc
split0_validation,roman-empire,GAT,ENS,3,5,0.8432756662368774,acc
split0_validation,roman-empire,GAT,ENS,4,5,0.8355100154876709,acc
split0_validation,roman-empire,GAT,ENS,5,5,0.8390398621559143,acc
split0_validation,roman-empire,GAT,ENS,6,5,0.8469820022583008,acc
split0_validation,roman-empire,GAT,ENS,7,5,0.8365690112113953,acc
split0_validation,roman-empire,GAT,ENS,8,5,0.8342745900154114,acc
split0_validation,roman-empire,GAT,ENS,9,5,0.837274968624115,acc
per_split_validation,roman-empire,GAT-sep,ENS,0,5,0.8986939191818237,acc
per_split_validation,roman-empire,GAT-sep,ENS,1,5,0.9032827019691467,acc
per_split_validation,roman-empire,GAT-sep,ENS,2,5,0.9002823829650879,acc
per_split_validation,roman-empire,GAT-sep,ENS,3,5,0.9045181274414062,acc
per_split_validation,roman-empire,GAT-sep,ENS,4,5,0.9015178084373474,acc
per_split_validation,roman-empire,GAT-sep,ENS,5,5,0.9105188846588135,acc
per_split_validation,roman-empire,GAT-sep,ENS,6,5,0.9034591913223267,acc
per_split_validation,roman-empire,GAT-sep,ENS,7,5,0.8949876427650452,acc
per_split_validation,roman-empire,GAT-sep,ENS,8,5,0.8963995575904846,acc
per_split_validation,roman-empire,GAT-sep,ENS,9,5,0.9004588723182678,acc
mean_validation,roman-empire,GAT-sep,ENS,0,5,0.8986939191818237,acc
mean_validation,roman-empire,GAT-sep,ENS,1,5,0.9032827019691467,acc
mean_validation,roman-empire,GAT-sep,ENS,2,5,0.9002823829650879,acc
mean_validation,roman-empire,GAT-sep,ENS,3,5,0.9045181274414062,acc
mean_validation,roman-empire,GAT-sep,ENS,4,5,0.9015178084373474,acc
mean_validation,roman-empire,GAT-sep,ENS,5,5,0.9105188846588135,acc
mean_validation,roman-empire,GAT-sep,ENS,6,5,0.9034591913223267,acc
mean_validation,roman-empire,GAT-sep,ENS,7,5,0.8949876427650452,acc
mean_validation,roman-empire,GAT-sep,ENS,8,5,0.8963995575904846,acc
mean_validation,roman-empire,GAT-sep,ENS,9,5,0.9004588723182678,acc
split0_validation,roman-empire,GAT-sep,ENS,0,5,0.8986939191818237,acc
split0_validation,roman-empire,GAT-sep,ENS,1,5,0.9032827019691467,acc
split0_validation,roman-empire,GAT-sep,ENS,2,5,0.9002823829650879,acc
split0_validation,roman-empire,GAT-sep,ENS,3,5,0.9045181274414062,acc
split0_validation,roman-empire,GAT-sep,ENS,4,5,0.9015178084373474,acc
split0_validation,roman-empire,GAT-sep,ENS,5,5,0.9105188846588135,acc
split0_validation,roman-empire,GAT-sep,ENS,6,5,0.9034591913223267,acc
split0_validation,roman-empire,GAT-sep,ENS,7,5,0.8949876427650452,acc
split0_validation,roman-empire,GAT-sep,ENS,8,5,0.8963995575904846,acc
split0_validation,roman-empire,GAT-sep,ENS,9,5,0.9004588723182678,acc
per_split_validation,roman-empire,GT,ENS,0,5,0.8859865665435791,acc
per_split_validation,roman-empire,GT,ENS,1,5,0.8944581747055054,acc
per_split_validation,roman-empire,GT,ENS,2,5,0.8914577960968018,acc
per_split_validation,roman-empire,GT,ENS,3,5,0.8900458812713623,acc
per_split_validation,roman-empire,GT,ENS,4,5,0.8941051363945007,acc
per_split_validation,roman-empire,GT,ENS,5,5,0.8956936001777649,acc
per_split_validation,roman-empire,GT,ENS,6,5,0.893399178981781,acc
per_split_validation,roman-empire,GT,ENS,7,5,0.8813977837562561,acc
per_split_validation,roman-empire,GT,ENS,8,5,0.8877514600753784,acc
per_split_validation,roman-empire,GT,ENS,9,5,0.8866925239562988,acc
mean_validation,roman-empire,GT,ENS,0,5,0.8859865665435791,acc
mean_validation,roman-empire,GT,ENS,1,5,0.8944581747055054,acc
mean_validation,roman-empire,GT,ENS,2,5,0.8914577960968018,acc
mean_validation,roman-empire,GT,ENS,3,5,0.8900458812713623,acc
