policy,dataset,backbone,variant,metric_name,n_splits,mean_percent,population_sd_percent
split0_validation,questions,GT-sep,BASE,roc_auc,10,77.07093364487922,0.8133530017385942
per_split_validation,questions,ResNet,BASE,roc_auc,10,70.51983103560536,0.6655818459752535
mean_validation,questions,ResNet,BASE,roc_auc,10,70.36400998362998,0.6098308325514813
split0_validation,questions,ResNet,BASE,roc_auc,10,70.35192295703851,0.4194042667061644
per_split_validation,questions,TAG,BASE,roc_auc,10,78.32075874664346,1.1637646241991138
mean_validation,questions,TAG,BASE,roc_auc,10,78.3952711673043,1.1104982425666887
split0_validation,questions,TAG,BASE,roc_auc,10,78.4167472853254,1.1563358977979812
per_split_validation,questions,GCN,ENS,roc_auc,10,76.73060823026074,1.080456306399915
mean_validation,questions,GCN,ENS,roc_auc,10,76.53612254651831,1.1766282128381167
split0_validation,questions,GCN,ENS,roc_auc,10,76.5117326123447,1.1173486611176544
per_split_validation,questions,SAGE,ENS,roc_auc,10,74.39154577716003,0.9695141518835206
mean_validation,questions,SAGE,ENS,roc_auc,10,74.48011701442361,0.923014801242912
split0_validation,questions,SAGE,ENS,roc_auc,10,74.48011701442361,0.923014801242912
per_split_validation,questions,GAT,ENS,roc_auc,10,77.99530834039467,0.9054076547147278
mean_validation,questions,GAT,ENS,roc_auc,10,77.97885058957445,0.8255687811628739
split0_validation,questions,GAT,ENS,roc_auc,10,77.93599648125529,0.9173482268372373
per_split_validation,questions,GAT-sep,ENS,roc_auc,10,78.0445141985043,0.8449096664722988
mean_validation,questions,GAT-sep,ENS,roc_auc,10,78.02360722127688,0.848664867003242
split0_validation,questions,GAT-sep,ENS,roc_auc,10,77.92083747971064,0.7539906928930877
per_split_validation,questions,GT,ENS,roc_auc,10,78.17824035058149,0.8553547674868495
mean_validation,questions,GT,ENS,roc_auc,10,78.18057925372133,0.8178665430122332
split0_validation,questions,GT,ENS,roc_auc,10,78.18057925372133,0.8178665430122332
per_split_validation,questions,GT-sep,ENS,roc_auc,10,77.83177329494421,0.8518024439089613
mean_validation,questions,GT-sep,ENS,roc_auc,10,77.72621672604355,0.8909772112216954
split0_validation,questions,GT-sep,ENS,roc_auc,10,77.72621672604355,0.8909772112216954
per_split_validation,questions,ResNet,ENS,roc_auc,10,70.82891950986935,0.7779105920301608
mean_validation,questions,ResNet,ENS,roc_auc,10,71.04642942076936,0.6587898329972316
split0_validation,questions,ResNet,ENS,roc_auc,10,70.69559510423473,0.8002620340443309
per_split_validation,questions,TAG,ENS,roc_auc,10,78.61341025007562,1.1174311975287876
mean_validation,questions,TAG,ENS,roc_auc,10,78.65357565878335,1.089136206737202
split0_validation,questions,TAG,ENS,roc_auc,10,78.65357565878335,1.089136206737202
per_split_validation,questions,GCN,GNNM,roc_auc,10,77.50192330337168,1.0230420745962239
mean_validation,questions,GCN,GNNM,roc_auc,10,77.40291127637616,0.984082497936102
split0_validation,questions,GCN,GNNM,roc_auc,10,77.47975451907026,0.910155330429478
per_split_validation,questions,SAGE,GNNM,roc_auc,10,77.01810167879218,1.1173039389899684
mean_validation,questions,SAGE,GNNM,roc_auc,10,77.18213775285206,1.1156311500008782
split0_validation,questions,SAGE,GNNM,roc_auc,10,77.17370684977685,0.9809351170556967
per_split_validation,questions,GAT,GNNM,roc_auc,10,79.12589555977824,0.8854715926211951
mean_validation,questions,GAT,GNNM,roc_auc,10,79.1069707625563,0.9573690113956432
split0_validation,questions,GAT,GNNM,roc_auc,10,79.1069707625563,0.9573690113956432
per_split_validation,questions,GAT-sep,GNNM,roc_auc,10,79.09944494342072,0.9234375532082842
mean_validation,questions,GAT-sep,GNNM,roc_auc,10,78.97662366748325,1.0204550027422967
split0_validation,questions,GAT-sep,GNNM,roc_auc,10,78.88833411450696,0.8295059629787889
per_split_validation,questions,GT,GNNM,roc_auc,10,78.65867714593786,0.937873693121832
mean_validation,questions,GT,GNNM,roc_auc,10,78.7154907886929,0.9828045385696134
split0_validation,questions,GT,GNNM,roc_auc,10,78.7154907886929,0.9828045385696134
per_split_validation,questions,GT-sep,GNNM,roc_auc,10,78.62274046487143,0.7380939138994778
mean_validation,questions,GT-sep,GNNM,roc_auc,10,78.69580059523122,0.9474623792208915
split0_validation,questions,GT-sep,GNNM,roc_auc,10,78.3518710070675,0.9947199134536776
per_split_validation,questions,ResNet,GNNM,roc_auc,10,71.52069340512435,0.8562482470400142
mean_validation,questions,ResNet,GNNM,roc_auc,10,71.43727906831768,0.9696822954908988
split0_validation,questions,ResNet,GNNM,roc_auc,10,71.22959231971629,1.0540735770822578
per_split_validation,questions,TAG,GNNM,roc_auc,10,79.14728624895811,0.9275883404817834
mean_validation,questions,TAG,GNNM,roc_auc,10,79.20138117656295,0.9163889033293934
split0_validation,questions,TAG,GNNM,roc_auc,10,79.20138117656295,0.9163889033293934
per_split_validation,tolokers,GCN,BASE,roc_auc,10,84.10278204804935,0.9859544836167325
mean_validation,tolokers,GCN,BASE,roc_auc,10,84.20623785006059,0.7903713033266079
split0_validation,tolokers,GCN,BASE,roc_auc,10,84.20623785006059,0.7903713033266079
per_split_validation,tolokers,SAGE,BASE,roc_auc,10,82.96581884830098,0.4088065103095442
mean_validation,tolokers,SAGE,BASE,roc_auc,10,82.91162706837044,0.36066196993896565
split0_validation,tolokers,SAGE,BASE,roc_auc,10,82.79074449134966,0.38039344084875515
per_split_validation,tolokers,GAT,BASE,roc_auc,10,84.01572273329917,0.5774593214831852
mean_validation,tolokers,GAT,BASE,roc_auc,10,83.95021473365706,0.6426396750804795
split0_validation,tolokers,GAT,BASE,roc_auc,10,83.95021473365706,0.6426396750804795
per_split_validation,tolokers,GAT-sep,BASE,roc_auc,10,84.03798237123438,0.532471898820541
mean_validation,tolokers,GAT-sep,BASE,roc_auc,10,83.90982677609408,0.6863588480002062
split0_validation,tolokers,GAT-sep,BASE,roc_auc,10,83.93922386797135,0.6331150001508511
per_split_validation,tolokers,GT,BASE,roc_auc,10,82.92170626496288,0.700453129833407
mean_validation,tolokers,GT,BASE,roc_auc,10,82.98919011249114,0.574613726677563
split0_validation,tolokers,GT,BASE,roc_auc,10,82.98919011249114,0.574613726677563
per_split_validation,tolokers,GT-sep,BASE,roc_auc,10,83.01538788978091,0.8131148147908683
mean_validation,tolokers,GT-sep,BASE,roc_auc,10,82.92911484725985,0.8048711209369601
split0_validation,tolokers,GT-sep,BASE,roc_auc,10,82.90515387889782,0.7290602963242473
per_split_validation,tolokers,ResNet,BASE,roc_auc,10,72.91083401793243,1.1248111616917755
mean_validation,tolokers,ResNet,BASE,roc_auc,10,72.88372457154941,1.0379149659849511
split0_validation,tolokers,ResNet,BASE,roc_auc,10,72.88372457154941,1.0379149659849511
per_split_validation,tolokers,TAG,BASE,roc_auc,10,84.81466682392112,0.8053680572922893
mean_validation,tolokers,TAG,BASE,roc_auc,10,84.6643532639787,0.7660950381714168
split0_validation,tolokers,TAG,BASE,roc_auc,10,84.37325969487215,0.8535681902918131
per_split_validation,tolokers,GCN,ENS,roc_auc,10,84.10616437427643,0.8106052430614544
