dataset,model,variant,split,n_test,m,mean_member_acc,logit_ensemble_acc,mean_probability_acc,logit_vs_probability_decisions,ensemble_gain_vs_mean_member_pp,mean_member_ce_nats,pooled_ce_nats,mean_ce_gap_nats,mean_reverse_kl_nats,ce_kl_identity_max_abs_nats,double_fault,pool_member_rescue_pairs,pool_member_harm_pairs,pool_net_correct_pairs,pool_gain_from_pairs_pp,k0_ensemble_rescues,pool_correct_with_some_member_wrong_nodes,pool_wrong_with_some_member_correct_nodes,all_members_correct_ensemble_harms
roman-empire,SAGE,input_only,2,5666,4,0.8825450052947406,0.8889869396399577,0.8895164136957289,37,0.6441934345217115,0.7652302980422974,0.6842034459114075,0.08102681487798691,0.0810268223285675,2.384185336268274e-06,0.0934815860689493,408,262,146,0.6441934345217084,1,300,197,0
roman-empire,SAGE,output_only,2,5666,4,0.846099541122485,0.846099541122485,0.846099541122485,0,0.0,1.2227628231048584,1.2227624654769897,2.122034743479162e-07,2.1544909145632118e-07,3.814697265625e-06,0.153900458877515,0,0,0,0.0,0,0,0,0
roman-empire,SAGE,base,2,5666,1,0.8656900811860219,0.8656900811860219,0.8656900811860219,0,0.0,0.9555464386940002,0.9555464386940002,0.0,0.0,0.0,nan,0,0,0,0.0,0,0,0,0
roman-empire,SAGE,gnnm_m1,2,5666,1,0.8531591951994353,0.8531591951994353,0.8531591951994353,0,0.0,1.2072503566741943,1.2072503566741943,0.0,0.0,0.0,nan,0,0,0,0.0,0,0,0,0
roman-empire,SAGE,gnnm,2,5666,4,0.8901341334274621,0.8971055418284504,0.8965760677726792,50,0.697140840098831,0.8326858282089233,0.7454433441162109,0.08724255859851837,0.08724257349967957,3.814697265625e-06,0.08609836451347218,426,268,158,0.6971408400988351,0,291,195,0
roman-empire,SAGE,independent_projectors,3,5666,4,0.8630868337451465,0.8718672785033533,0.8715142957995058,64,0.8780444758206829,1.0788416862487793,0.9490417242050171,0.1298000067472458,0.1298000067472458,3.337876478326507e-06,0.10498293916931405,555,356,199,0.8780444758206848,1,397,260,0
roman-empire,SAGE,heads_only,3,5666,4,0.8483498058595129,0.8494528768090364,0.8494528768090364,0,0.11030709495234436,1.2108635902404785,1.2098801136016846,0.000983499689027667,0.0009835005039349198,2.6225570763926953e-06,0.14942934462877985,43,18,25,0.11030709495234733,0,32,14,0
roman-empire,SAGE,input_only,3,5666,4,0.8897370278856336,0.8951641369572891,0.8939286974938228,46,0.5427109071655556,0.8168046474456787,0.7401221990585327,0.0766824260354042,0.07668241858482361,3.814697265625e-06,0.08774561713142721,382,259,123,0.5427109071655489,0,279,186,0
roman-empire,SAGE,output_only,3,5666,4,0.8550123543946346,0.8551006000705965,0.8551006000705965,0,0.008824567596188437,1.2440464496612549,1.2440463304519653,1.557757798309467e-07,1.6137052227804816e-07,2.3839618279453134e-06,0.14492881515472408,2,0,2,0.008824567596187787,0,1,0,0
roman-empire,SAGE,base,3,5666,1,0.8679844687610307,0.8679844687610307,0.8679844687610307,0,0.0,0.9822592735290527,0.9822592735290527,0.0,0.0,0.0,nan,0,0,0,0.0,0,0,0,0
