dataset,model,variant,k,num_layers,hidden_dim,lr,num_params,mean_step_ms,std_step_ms,peak_mem_mb
tolokers,GT-sep,TABM_k4,4,4,512,3e-05,8423984,1349.843,1.746,32112.2
tolokers,GT-sep,TABM_k8,8,4,512,3e-05,8430176,2697.986,2.685,32112.3
tolokers,GT-sep,BASE,1,5,512,3e-05,10521089,420.809,0.915,38542.4
tolokers,GT-sep,ENS_k4,4,5,512,3e-05,42084356,1682.254,2.042,39028.2
tolokers,GT-sep,TABM_k2,2,5,512,3e-05,10523672,842.603,1.287,38600.4
tolokers,GT-sep,TABM_k4,4,5,512,3e-05,10526768,1684.171,2.214,38600.5
tolokers,GT-sep,TABM_k8,8,5,512,3e-05,10532960,3366.937,3.128,38600.6
tolokers,TAG,BASE,1,1,512,3e-05,1582593,84.406,0.534,4325.2
tolokers,TAG,ENS_k4,4,1,512,3e-05,6330372,337.215,1.098,4397.6
tolokers,TAG,TABM_k2,2,1,512,3e-05,1585176,169.583,0.66,4351.7
tolokers,TAG,TABM_k4,4,1,512,3e-05,1588272,339.294,1.382,4351.7
tolokers,TAG,TABM_k8,8,1,512,3e-05,1594464,679.57,2.085,4351.8
tolokers,TAG,BASE,1,2,512,3e-05,3158017,167.465,0.657,4542.9
tolokers,TAG,ENS_k4,4,2,512,3e-05,12632068,668.318,1.454,4687.5
tolokers,TAG,TABM_k2,2,2,512,3e-05,3160600,335.775,1.091,4575.4
tolokers,TAG,TABM_k4,4,2,512,3e-05,3163696,670.569,1.609,4575.4
tolokers,TAG,TABM_k8,8,2,512,3e-05,3169888,1341.286,2.621,4575.5
tolokers,TAG,BASE,1,3,512,3e-05,4733441,250.013,0.827,4760.6
tolokers,TAG,ENS_k4,4,3,512,3e-05,18933764,999.721,1.733,4977.3
tolokers,TAG,TABM_k2,2,3,512,3e-05,4736024,501.719,1.325,4799.1
tolokers,TAG,TABM_k4,4,3,512,3e-05,4739120,1001.784,1.89,4799.2
tolokers,TAG,TABM_k8,8,3,512,3e-05,4745312,2004.019,2.873,4799.3
tolokers,TAG,BASE,1,4,512,3e-05,6308865,333.041,0.963,4978.5
tolokers,TAG,ENS_k4,4,4,512,3e-05,25235460,1330.825,1.962,5267.3
tolokers,TAG,TABM_k2,2,4,512,3e-05,6311448,667.14,1.394,5023.0
tolokers,TAG,TABM_k4,4,4,512,3e-05,6314544,1332.904,2.196,5023.0
tolokers,TAG,TABM_k8,8,4,512,3e-05,6320736,2664.285,3.329,5023.1
tolokers,TAG,BASE,1,5,512,3e-05,7884289,415.838,1.041,5196.3
tolokers,TAG,ENS_k4,4,5,512,3e-05,31537156,1662.349,2.015,5557.2
tolokers,TAG,TABM_k2,2,5,512,3e-05,7886872,833.163,1.529,5246.8
tolokers,TAG,TABM_k4,4,5,512,3e-05,7889968,1663.879,2.423,5246.9
tolokers,TAG,TABM_k8,8,5,512,3e-05,7896160,3327.041,3.569,5247.0
