dataset,model,variant,k,num_layers,hidden_dim,lr,num_params,mean_step_ms,std_step_ms,peak_mem_mb
minesweeper,GT-sep,TABM_k4,4,1,512,3e-05,2114084,70.551,0.553,1231.9
minesweeper,GT-sep,TABM_k8,8,1,512,3e-05,2120264,140.737,0.754,1232.0
minesweeper,GT-sep,BASE,1,2,512,3e-05,4211201,33.36,0.097,1935.4
minesweeper,GT-sep,ENS_k4,4,2,512,3e-05,16844804,132.589,0.277,2131.9
minesweeper,GT-sep,TABM_k2,2,2,512,3e-05,4213778,67.25,0.184,1966.8
minesweeper,GT-sep,TABM_k4,4,2,512,3e-05,4216868,134.105,0.253,1966.8
minesweeper,GT-sep,TABM_k8,8,2,512,3e-05,4223048,269.051,1.705,1966.9
minesweeper,GT-sep,BASE,1,3,512,3e-05,6313985,49.436,0.123,2661.6
minesweeper,GT-sep,ENS_k4,4,3,512,3e-05,25255940,196.668,0.365,2956.0
minesweeper,GT-sep,TABM_k2,2,3,512,3e-05,6316562,99.89,0.389,2701.4
minesweeper,GT-sep,TABM_k4,4,3,512,3e-05,6319652,197.765,0.402,2701.5
minesweeper,GT-sep,TABM_k8,8,3,512,3e-05,6325832,396.598,1.793,2701.6
minesweeper,GT-sep,BASE,1,4,512,3e-05,8416769,65.664,0.14,3389.1
minesweeper,GT-sep,ENS_k4,4,4,512,3e-05,33667076,260.578,0.308,3778.2
minesweeper,GT-sep,TABM_k2,2,4,512,3e-05,8419346,131.275,0.251,3437.6
minesweeper,GT-sep,TABM_k4,4,4,512,3e-05,8422436,261.713,0.435,3437.7
minesweeper,GT-sep,TABM_k8,8,4,512,3e-05,8428616,522.716,0.419,3437.8
minesweeper,GT-sep,BASE,1,5,512,3e-05,10519553,81.559,0.151,4115.1
minesweeper,GT-sep,ENS_k4,4,5,512,3e-05,42078212,324.512,0.252,4606.0
minesweeper,GT-sep,TABM_k2,2,5,512,3e-05,10522130,164.015,0.646,4171.7
minesweeper,GT-sep,TABM_k4,4,5,512,3e-05,10525220,326.949,0.793,4171.7
minesweeper,GT-sep,TABM_k8,8,5,512,3e-05,10531400,652.81,1.587,4171.8
minesweeper,TAG,BASE,1,1,512,3e-05,1581057,15.381,0.327,531.0
minesweeper,TAG,ENS_k4,4,1,512,3e-05,6324228,59.78,0.26,603.4
minesweeper,TAG,TABM_k2,2,1,512,3e-05,1583634,30.865,0.196,554.3
minesweeper,TAG,TABM_k4,4,1,512,3e-05,1586724,61.878,0.787,554.4
minesweeper,TAG,TABM_k8,8,1,512,3e-05,1592904,121.976,0.358,554.5
minesweeper,TAG,BASE,1,2,512,3e-05,3156481,28.725,0.106,715.9
minesweeper,TAG,ENS_k4,4,2,512,3e-05,12625924,114.25,0.221,860.4
minesweeper,TAG,TABM_k2,2,2,512,3e-05,3159058,58.238,0.209,745.2
minesweeper,TAG,TABM_k4,4,2,512,3e-05,3162148,115.84,0.422,745.3
minesweeper,TAG,TABM_k8,8,2,512,3e-05,3168328,231.35,0.579,745.4
minesweeper,TAG,BASE,1,3,512,3e-05,4731905,42.538,0.159,901.1
minesweeper,TAG,ENS_k4,4,3,512,3e-05,18927620,169.343,0.494,1117.7
minesweeper,TAG,TABM_k2,2,3,512,3e-05,4734482,85.91,0.422,936.5
minesweeper,TAG,TABM_k4,4,3,512,3e-05,4737572,170.428,0.292,936.5
minesweeper,TAG,TABM_k8,8,3,512,3e-05,4743752,341.657,1.645,936.6
minesweeper,TAG,BASE,1,4,512,3e-05,6307329,56.226,0.154,1085.6
minesweeper,TAG,ENS_k4,4,4,512,3e-05,25229316,223.566,0.417,1374.3
minesweeper,TAG,TABM_k2,2,4,512,3e-05,6309906,113.077,0.424,1126.9
minesweeper,TAG,TABM_k4,4,4,512,3e-05,6312996,226.267,0.805,1127.0
minesweeper,TAG,TABM_k8,8,4,512,3e-05,6319176,451.04,1.691,1127.1
minesweeper,TAG,BASE,1,5,512,3e-05,7882753,70.196,0.205,1270.0
minesweeper,TAG,ENS_k4,4,5,512,3e-05,31531012,278.179,0.432,1630.9
minesweeper,TAG,TABM_k2,2,5,512,3e-05,7885330,140.057,0.216,1317.4
minesweeper,TAG,TABM_k4,4,5,512,3e-05,7888420,280.084,1.042,1317.5
minesweeper,TAG,TABM_k8,8,5,512,3e-05,7894600,561.073,1.66,1317.6
